answer_llm,answer_orig,document,question,course
"Yes, ASU Online students may be eligible for financial aid. You can learn more about your options and how to contact a financial aid counselor by visiting the Financial Aid page on ASU's website.",ASU Online students may be eligible for financial aid. Learn about your options and how to get in touch with a financial aid counselor by visiting our Financial Aid page.,3,Can I access financial aid for my online courses at ASU?,ASU Online
"ASU Online students may be eligible for financial aid. Options include federal student aid or grants for undergraduate students, provided they demonstrate exceptional financial need and complete the FAFSA. Grants are available to online-degree-seeking students who qualify for aid, excluding the Financial Aid Trust Grant. Graduate students do not qualify for state or federal grants, but they can seek scholarships from private donors through ASU's scholarship search portal, as well as access federal student loans and private education loans. For more information about different types of federal aid and to get in touch with a financial aid counselor, students are encouraged to visit the Financial Aid page on ASU's website.",ASU Online students may be eligible for financial aid. Learn about your options and how to get in touch with a financial aid counselor by visiting our Financial Aid page.,3,What options are available for financial aid for ASU Online students?,ASU Online
"To connect with a financial aid counselor for ASU Online, you can visit the Financial Aid page on the Arizona State University website for information on your options. Additionally, you can call 855-278-5080 to speak directly with a financial aid counselor.",ASU Online students may be eligible for financial aid. Learn about your options and how to get in touch with a financial aid counselor by visiting our Financial Aid page.,3,How can I connect with a financial aid counselor for ASU Online?,ASU Online
"Yes, ASU Online students may be eligible for financial aid. For undergraduate students, financial aid is awarded to those who demonstrate exceptional financial need, and a complete Free Application for Federal Student Aid (FAFSA) is required to qualify for federal student aid or grants. Graduate students do not qualify for grants but can find scholarships from private donors and access federal student loans and private education loans. For more detailed information on financial aid options, it's recommended to visit Arizona State University’s Financial Aid and Scholarship Services website.",ASU Online students may be eligible for financial aid. Learn about your options and how to get in touch with a financial aid counselor by visiting our Financial Aid page.,3,Are there specific eligibility requirements for financial aid at ASU Online?,ASU Online
"You can find more information about financial aid for ASU Online classes by visiting the Financial Aid page on Arizona State University's website. There, you can learn about your financial aid options and get in touch with a financial aid counselor.",ASU Online students may be eligible for financial aid. Learn about your options and how to get in touch with a financial aid counselor by visiting our Financial Aid page.,3,Where can I find more information about financial aid for ASU Online classes?,ASU Online
"Yes, ASU Online students are encouraged to participate in university graduation ceremonies in person. More information can be found on the University Ceremonies website.",Yes! ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.,4,Are ASU Online students allowed to join graduation ceremonies in person?,ASU Online
ASU Online students are encouraged to participate in university graduation ceremonies on campus. Additional information can be found on the University Ceremonies website.,Yes! ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.,4,What opportunities are available for attending graduation at ASU?,ASU Online
You can find details about graduation ceremonies for ASU Online by visiting the University Ceremonies website. ASU Online students are encouraged to participate in these ceremonies.,Yes! ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.,4,Where can I find details about graduation ceremonies for ASU Online?,ASU Online
"Yes, ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.",Yes! ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.,4,Can I participate in the university's graduation events if I study online?,ASU Online
"Yes, ASU Online students are encouraged to participate in university graduation ceremonies. For more details, you can visit the University Ceremonies website.",Yes! ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.,4,Is there any information about attending the graduation ceremony at ASU for online students?,ASU Online
"Yes, it is possible to enroll in ASU Online if you live outside the United States. International students residing outside of the U.S. should select the visa type 'JN' when completing the application, as student visas are not available to online students.","Yes, you can attend ASU Online from another state or country. Our students are completing degrees from all around the world. While most of our degrees can be completed 100% online, please note some programs (for example, the Bachelor of Science in biochemistry) require an in-person lab component. However, you may be able to complete this requirement at an approved accredited institution near your physical location. So, make sure you're aware of all your program's specific requirements.",5,Is it possible to enroll in ASU Online if I live outside the United States?,ASU Online
"Yes, you can study online at ASU while residing in a different state or country. Most degrees can be completed 100% online; however, some programs may have in-person components that you may need to fulfill at an approved accredited institution near your location. Be sure to check the specific requirements for your program.","Yes, you can attend ASU Online from another state or country. Our students are completing degrees from all around the world. While most of our degrees can be completed 100% online, please note some programs (for example, the Bachelor of Science in biochemistry) require an in-person lab component. However, you may be able to complete this requirement at an approved accredited institution near your physical location. So, make sure you're aware of all your program's specific requirements.",5,Can I study online at ASU while residing in a different state?,ASU Online
"Yes, some programs at ASU Online, such as the Bachelor of Science in biochemistry, do require an in-person lab component. However, students may have the option to complete this requirement at an approved accredited institution near their physical location.","Yes, you can attend ASU Online from another state or country. Our students are completing degrees from all around the world. While most of our degrees can be completed 100% online, please note some programs (for example, the Bachelor of Science in biochemistry) require an in-person lab component. However, you may be able to complete this requirement at an approved accredited institution near your physical location. So, make sure you're aware of all your program's specific requirements.",5,Are there any programs that require physical attendance for labs?,ASU Online
"If you study from another location, you should consider that while you can attend ASU Online from various states or countries, some programs may have specific requirements that necessitate in-person attendance. For example, certain degrees, such as the Bachelor of Science in biochemistry, require an in-person lab component. You may need to complete this component at an approved accredited institution near your location. Therefore, it is essential to be aware of all the specific requirements related to your program.","Yes, you can attend ASU Online from another state or country. Our students are completing degrees from all around the world. While most of our degrees can be completed 100% online, please note some programs (for example, the Bachelor of Science in biochemistry) require an in-person lab component. However, you may be able to complete this requirement at an approved accredited institution near your physical location. So, make sure you're aware of all your program's specific requirements.",5,What should I consider regarding my degree requirements if I study from another location?,ASU Online
"Yes, you may be able to fulfill in-person lab requirements at an approved accredited institution near your physical location. However, it is important to ensure you are aware of all specific requirements for your program.","Yes, you can attend ASU Online from another state or country. Our students are completing degrees from all around the world. While most of our degrees can be completed 100% online, please note some programs (for example, the Bachelor of Science in biochemistry) require an in-person lab component. However, you may be able to complete this requirement at an approved accredited institution near your physical location. So, make sure you're aware of all your program's specific requirements.",5,Can I fulfill in-person lab requirements at other accredited institutions?,ASU Online
"Yes, the online courses at ASU are taught by the same prestigious faculty and instructors who teach on Arizona State University campuses. This ensures that the rigor and quality of the content are the same as those of on-campus classes.","Yes, the same prestigious faculty and instructors who teach on Arizona State University campuses teach ASU Online courses. This means the rigor and quality of the content is the same as on-campus classes.",6,Are the online courses at ASU taught by the same faculty as on-campus classes?,ASU Online
"Yes, the quality of ASU Online programs is comparable to that of traditional on-campus programs. The same prestigious faculty and instructors who teach on-campus classes also teach ASU Online courses, ensuring that the rigor and quality of the content are the same.","Yes, the same prestigious faculty and instructors who teach on Arizona State University campuses teach ASU Online courses. This means the rigor and quality of the content is the same as on-campus classes.",6,Is the quality of ASU Online programs similar to that of traditional on-campus programs?,ASU Online
"Yes, ASU Online courses maintain the same level of academic rigor as on-campus courses. Both are taught by the same prestigious faculty and instructors, ensuring that the quality of the content is equivalent.","Yes, the same prestigious faculty and instructors who teach on Arizona State University campuses teach ASU Online courses. This means the rigor and quality of the content is the same as on-campus classes.",6,Do ASU Online courses maintain the same level of academic rigor as on-campus courses?,ASU Online
The courses for ASU Online programs are taught by the same prestigious faculty and instructors who teach on Arizona State University campuses. This ensures that the rigor and quality of the content is the same as on-campus classes.,"Yes, the same prestigious faculty and instructors who teach on Arizona State University campuses teach ASU Online courses. This means the rigor and quality of the content is the same as on-campus classes.",6,Who teaches the courses for ASU Online programs?,ASU Online
"Yes, you can expect the same content quality in ASU Online as you would in a physical classroom. The same prestigious faculty and instructors who teach on Arizona State University campuses also teach ASU Online courses, ensuring that the rigor and quality of the content is the same as on-campus classes.","Yes, the same prestigious faculty and instructors who teach on Arizona State University campuses teach ASU Online courses. This means the rigor and quality of the content is the same as on-campus classes.",6,Can I expect the same content quality in ASU Online as I would in a physical classroom?,ASU Online
"Yes, online students can order a student ID card (Sun Card) by following these steps: Submit your ID photo and identification verification online. Once you receive a photo approval email, you must complete the Sun Card Request form. A $25 fee will be posted to your student account. Please allow 10 working days for delivery by the U.S. Postal Service.","Yes. Online students can order a Sun Card, ASU's official student ID, by completing the following steps:Submit your ID photo and identification verification online.Once you receive a photo approval email, you must complete the Sun Card Request form. A $25 fee will be posted to your student account.Please allow 10 working days for delivery by the U.S. Postal Service.",7,Can I obtain a student ID card if I am an online student?,ASU Online
"To get your Sun Card, you need to follow these steps:

1. Submit your ID photo and identification verification online.
2. Once you receive a photo approval email, complete the Sun Card Request form.
3. A $25 fee will be posted to your student account.
4. Allow 10 working days for delivery by the U.S. Postal Service.","Yes. Online students can order a Sun Card, ASU's official student ID, by completing the following steps:Submit your ID photo and identification verification online.Once you receive a photo approval email, you must complete the Sun Card Request form. A $25 fee will be posted to your student account.Please allow 10 working days for delivery by the U.S. Postal Service.",7,What steps do I need to take to get my Sun Card?,ASU Online
"Yes, there is a fee associated with ordering a student ID card. A $25 fee will be posted to your student account when you complete the Sun Card Request form after your ID photo and identification verification have been approved.","Yes. Online students can order a Sun Card, ASU's official student ID, by completing the following steps:Submit your ID photo and identification verification online.Once you receive a photo approval email, you must complete the Sun Card Request form. A $25 fee will be posted to your student account.Please allow 10 working days for delivery by the U.S. Postal Service.",7,Is there a fee associated with ordering a student ID card?,ASU Online
"After ordering your student ID card, please allow 10 working days for delivery by the U.S. Postal Service.","Yes. Online students can order a Sun Card, ASU's official student ID, by completing the following steps:Submit your ID photo and identification verification online.Once you receive a photo approval email, you must complete the Sun Card Request form. A $25 fee will be posted to your student account.Please allow 10 working days for delivery by the U.S. Postal Service.",7,How long will it take to receive my student ID card after ordering?,ASU Online
"To submit your ID photo for the Sun Card, follow these steps: 

1. Submit your ID photo and identification verification online.
2. After you receive a photo approval email, complete the Sun Card Request form.
3. A $25 fee will be posted to your student account.
4. Allow 10 working days for delivery by the U.S. Postal Service.","Yes. Online students can order a Sun Card, ASU's official student ID, by completing the following steps:Submit your ID photo and identification verification online.Once you receive a photo approval email, you must complete the Sun Card Request form. A $25 fee will be posted to your student account.Please allow 10 working days for delivery by the U.S. Postal Service.",7,What is the process for submitting my ID photo for the Sun Card?,ASU Online
"Yes, online undergraduate and graduate students can participate in research across a variety of disciplines. Many research opportunities can be completed remotely, and there are additional in-person research opportunities for online students who live in the Phoenix area.","Yes, online undergraduate and graduate students can participate in research across a variety of disciplines. Many of these research opportunities can be completed remotely. However, there are additional in-person research opportunities available for online students who live in the Phoenix area and can come to campus.",8,Are online students able to engage in research activities?,ASU Online
"Online undergraduate and graduate students at ASU can participate in research across various disciplines. Many research opportunities can be completed remotely, while additional in-person research options are available for those living in the Phoenix area who can come to campus.","Yes, online undergraduate and graduate students can participate in research across a variety of disciplines. Many of these research opportunities can be completed remotely. However, there are additional in-person research opportunities available for online students who live in the Phoenix area and can come to campus.",8,What types of research opportunities are available for online students?,ASU Online
"Yes, online students can conduct research remotely. Online undergraduate and graduate students have the opportunity to participate in research across various disciplines, with many of these research opportunities being completed remotely. However, there are also in-person research opportunities available for those online students who live in the Phoenix area and can visit the campus.","Yes, online undergraduate and graduate students can participate in research across a variety of disciplines. Many of these research opportunities can be completed remotely. However, there are additional in-person research opportunities available for online students who live in the Phoenix area and can come to campus.",8,Can online students conduct research remotely?,ASU Online
"Yes, there are in-person research options available for online students who live in the Phoenix area and can come to campus. While many research opportunities can be completed remotely, some additional in-person options exist.","Yes, online undergraduate and graduate students can participate in research across a variety of disciplines. Many of these research opportunities can be completed remotely. However, there are additional in-person research opportunities available for online students who live in the Phoenix area and can come to campus.",8,Are there in-person research options for online students?,ASU Online
"Yes, online students in the Phoenix area do have unique research opportunities. In addition to remote research options, there are additional in-person research opportunities available for online students who live in the Phoenix area and can come to campus.","Yes, online undergraduate and graduate students can participate in research across a variety of disciplines. Many of these research opportunities can be completed remotely. However, there are additional in-person research opportunities available for online students who live in the Phoenix area and can come to campus.",8,Do online students in the Phoenix area have unique research opportunities?,ASU Online
"Yes, it is possible to work toward more than one bachelor's degree simultaneously at ASU Online. You can pursue two or more bachelor's degrees at the same time, and if you choose to double or triple major, you will select one major during the ASU application process and then add the other majors through your academic advisor.","You can pursue two or more bachelor's degrees at the same time at ASU Online. If you do decide to double or triple major, you'll select one major on the ASU application and add the second or third major through your academic advisor.Graduate students can also simultaneously pursue two degrees. To pursue concurrent graduate degrees, you must separately apply and be accepted into each program. You will also need approval from the head of each academic department and the Graduate College.Pursuing multiple degrees might increase the time it takes for you to graduate. You can work with your academic advisor to find out how adding another degree program might impact your course load or expected graduation date. ",9,Is it possible to work toward more than one bachelor's degree simultaneously at ASU Online?,ASU Online
"To add additional majors after applying for a degree at ASU Online, you will need to work with your academic advisor. After selecting your primary major on the application, you can add the second or third major through your academic advisor.","You can pursue two or more bachelor's degrees at the same time at ASU Online. If you do decide to double or triple major, you'll select one major on the ASU application and add the second or third major through your academic advisor.Graduate students can also simultaneously pursue two degrees. To pursue concurrent graduate degrees, you must separately apply and be accepted into each program. You will also need approval from the head of each academic department and the Graduate College.Pursuing multiple degrees might increase the time it takes for you to graduate. You can work with your academic advisor to find out how adding another degree program might impact your course load or expected graduation date. ",9,How can I add additional majors after I apply for a degree at ASU Online?,ASU Online
"Yes, graduate students can pursue multiple degrees at the same time through ASU Online. However, to pursue concurrent graduate degrees, you must separately apply and be accepted into each program. Additionally, you will need approval from the head of each academic department and the Graduate College.","You can pursue two or more bachelor's degrees at the same time at ASU Online. If you do decide to double or triple major, you'll select one major on the ASU application and add the second or third major through your academic advisor.Graduate students can also simultaneously pursue two degrees. To pursue concurrent graduate degrees, you must separately apply and be accepted into each program. You will also need approval from the head of each academic department and the Graduate College.Pursuing multiple degrees might increase the time it takes for you to graduate. You can work with your academic advisor to find out how adding another degree program might impact your course load or expected graduation date. ",9,Can graduate students also pursue multiple degrees at the same time through ASU Online?,ASU Online
"To pursue concurrent graduate degrees at ASU, you need to separately apply and be accepted into each program. Additionally, you will require approval from the head of each academic department and the Graduate College.","You can pursue two or more bachelor's degrees at the same time at ASU Online. If you do decide to double or triple major, you'll select one major on the ASU application and add the second or third major through your academic advisor.Graduate students can also simultaneously pursue two degrees. To pursue concurrent graduate degrees, you must separately apply and be accepted into each program. You will also need approval from the head of each academic department and the Graduate College.Pursuing multiple degrees might increase the time it takes for you to graduate. You can work with your academic advisor to find out how adding another degree program might impact your course load or expected graduation date. ",9,What approvals do I need to pursue concurrent graduate degrees at ASU?,ASU Online
"Yes, pursuing multiple degrees at ASU Online might increase the time it takes for you to graduate. It is advisable to work with your academic advisor to understand how adding another degree program could impact your course load and expected graduation date.","You can pursue two or more bachelor's degrees at the same time at ASU Online. If you do decide to double or triple major, you'll select one major on the ASU application and add the second or third major through your academic advisor.Graduate students can also simultaneously pursue two degrees. To pursue concurrent graduate degrees, you must separately apply and be accepted into each program. You will also need approval from the head of each academic department and the Graduate College.Pursuing multiple degrees might increase the time it takes for you to graduate. You can work with your academic advisor to find out how adding another degree program might impact your course load or expected graduation date. ",9,Will pursuing multiple degrees affect my graduation timeline at ASU Online?,ASU Online
"No, textbook costs are not included in tuition.",Textbook costs are not included in tuition.,10,Are the costs of textbooks part of the tuition fees?,ASU Online
"The provided context does not explicitly mention whether students need to pay separately for textbooks. Therefore, based on the information available, I cannot provide a definitive answer to the question.",Textbook costs are not included in tuition.,10,Do students need to pay separately for textbooks?,ASU Online
"The context provided does not mention any additional fees for textbooks at ASU Online. Therefore, it is unclear whether there are any additional fees for textbooks.",Textbook costs are not included in tuition.,10,Is there an additional fee for textbooks at ASU Online?,ASU Online
"Regarding textbook expenses, you should expect that textbook costs are not included in tuition.",Textbook costs are not included in tuition.,10,What should I expect regarding textbook expenses?,ASU Online
Textbook costs are not included in tuition.,Textbook costs are not included in tuition.,10,Are textbooks included in my overall tuition payment?,ASU Online
"ASU Online is regionally accredited by the Higher Learning Commission, which is recognized by the U.S. Department of Education. This type of accreditation is considered the gold standard in higher education in the United States. Additionally, many of ASU Online's programs carry specialized accreditation specific to their fields.","Arizona State University and our online programs are regionally accredited by the Higher Learning Commission. The Higher Learning Commission is an institutional accrediting agency recognized by the U.S. Department of Education.Regional accreditation is the most accepted and recognized accreditation for colleges and universities in the United States. This means that regionally accredited schools, such as ASU, are the gold standard in higher education. In addition to ASU's Higher Learning Commission accreditation, many of ASU Online's programs carry specialized accreditation specific to the field. View a list of ASU programs with specialized accreditations.",11,What type of accreditation does ASU Online hold?,ASU Online
The Higher Learning Commission is recognized by the U.S. Department of Education as an institutional accrediting agency.,"Arizona State University and our online programs are regionally accredited by the Higher Learning Commission. The Higher Learning Commission is an institutional accrediting agency recognized by the U.S. Department of Education.Regional accreditation is the most accepted and recognized accreditation for colleges and universities in the United States. This means that regionally accredited schools, such as ASU, are the gold standard in higher education. In addition to ASU's Higher Learning Commission accreditation, many of ASU Online's programs carry specialized accreditation specific to the field. View a list of ASU programs with specialized accreditations.",11,Who recognizes the Higher Learning Commission?,ASU Online
"Regional accreditation is important for universities because it is the most accepted and recognized form of accreditation in the United States. Regionally accredited institutions, like Arizona State University (ASU), are considered the gold standard in higher education. This type of accreditation ensures that the university meets high academic standards, which can impact the transferability of credits, the recognition of degrees by employers, and eligibility for federal financial aid.","Arizona State University and our online programs are regionally accredited by the Higher Learning Commission. The Higher Learning Commission is an institutional accrediting agency recognized by the U.S. Department of Education.Regional accreditation is the most accepted and recognized accreditation for colleges and universities in the United States. This means that regionally accredited schools, such as ASU, are the gold standard in higher education. In addition to ASU's Higher Learning Commission accreditation, many of ASU Online's programs carry specialized accreditation specific to the field. View a list of ASU programs with specialized accreditations.",11,Why is regional accreditation important for universities?,ASU Online
"Yes, many of ASU Online's programs carry specialized accreditation specific to the field, in addition to being regionally accredited by the Higher Learning Commission. You can view a list of ASU programs with specialized accreditations for more details.","Arizona State University and our online programs are regionally accredited by the Higher Learning Commission. The Higher Learning Commission is an institutional accrediting agency recognized by the U.S. Department of Education.Regional accreditation is the most accepted and recognized accreditation for colleges and universities in the United States. This means that regionally accredited schools, such as ASU, are the gold standard in higher education. In addition to ASU's Higher Learning Commission accreditation, many of ASU Online's programs carry specialized accreditation specific to the field. View a list of ASU programs with specialized accreditations.",11,Are there specific programs at ASU Online with additional accreditation?,ASU Online
"Arizona State University (ASU) holds regional accreditation from the Higher Learning Commission, which is recognized by the U.S. Department of Education. This type of accreditation is considered the gold standard in higher education in the United States. In addition to its regional accreditation, many of ASU Online's programs also have specialized accreditations that pertain to specific fields. This positions ASU's accreditation favorably compared to other institutions, as regional accreditation is the most widely accepted form of accreditation for colleges and universities in the country.","Arizona State University and our online programs are regionally accredited by the Higher Learning Commission. The Higher Learning Commission is an institutional accrediting agency recognized by the U.S. Department of Education.Regional accreditation is the most accepted and recognized accreditation for colleges and universities in the United States. This means that regionally accredited schools, such as ASU, are the gold standard in higher education. In addition to ASU's Higher Learning Commission accreditation, many of ASU Online's programs carry specialized accreditation specific to the field. View a list of ASU programs with specialized accreditations.",11,How does ASU's accreditation compare to other institutions?,ASU Online
