answer_llm,answer_orig,document,question,course
"To complete the ASU Online admission process, you'll need to submit an application and pay the application fee. Additionally, ASU must receive all of your required transcripts. If you have not completed an associate degree, you will also need to send your official high school transcripts. Have your transcripts sent to:

Admission Services  
Arizona State University  
PO Box 870112  
Tempe, AZ 85287-0112","Your application is complete once you pay the application fee and ASU receives all of your required transcripts. If you haven't completed an associate degree, you'll need to have your official high school transcripts sent to us. Please have you transcripts sent to:Admission ServicesArizona State UniversityPO Box 870112Tempe, AZ 85287-0112",2,What materials are necessary to complete the ASU Online admission process?,ASU Online
"Yes, an application fee is required for ASU Online admission. The application is considered complete once you pay the application fee and ASU receives all of your required transcripts.","Your application is complete once you pay the application fee and ASU receives all of your required transcripts. If you haven't completed an associate degree, you'll need to have your official high school transcripts sent to us. Please have you transcripts sent to:Admission ServicesArizona State UniversityPO Box 870112Tempe, AZ 85287-0112",2,Is an application fee required for ASU Online admission?,ASU Online
"Yes, if you haven't earned an associate degree, you will need to submit your official high school transcripts to complete your application for ASU Online. Please have your transcripts sent to the following address: Admission Services, Arizona State University, PO Box 870112, Tempe, AZ 85287-0112.","Your application is complete once you pay the application fee and ASU receives all of your required transcripts. If you haven't completed an associate degree, you'll need to have your official high school transcripts sent to us. Please have you transcripts sent to:Admission ServicesArizona State UniversityPO Box 870112Tempe, AZ 85287-0112",2,Do I need to submit my high school transcripts if I haven't earned an associate degree?,ASU Online
"You should send your transcripts for ASU Online admission to the following address:

Admission Services  
Arizona State University  
PO Box 870112  
Tempe, AZ 85287-0112","Your application is complete once you pay the application fee and ASU receives all of your required transcripts. If you haven't completed an associate degree, you'll need to have your official high school transcripts sent to us. Please have you transcripts sent to:Admission ServicesArizona State UniversityPO Box 870112Tempe, AZ 85287-0112",2,Where should I send my transcripts for ASU Online admission?,ASU Online
"The address for submitting transcripts to ASU Online is:

Admission Services  
Arizona State University  
PO Box 870112  
Tempe, AZ 85287-0112","Your application is complete once you pay the application fee and ASU receives all of your required transcripts. If you haven't completed an associate degree, you'll need to have your official high school transcripts sent to us. Please have you transcripts sent to:Admission ServicesArizona State UniversityPO Box 870112Tempe, AZ 85287-0112",2,What is the address for submitting transcripts to ASU Online?,ASU Online
"ASU Online students may be eligible for financial aid. Undergraduate students can qualify for financial aid, including federal student aid or grants, by completing a Free Application for Federal Student Aid (FAFSA). Grants, with the exception of the Financial Aid Trust Grant, are available to online-degree-seeking students who qualify. Graduate students do not qualify for grants from the state or federal government but can seek scholarships from private donors and funding through federal or private loans. For more information on the types of aid available, visiting Arizona State University's Financial Aid and Scholarship Services website is advised.",ASU Online students may be eligible for financial aid. Learn about your options and how to get in touch with a financial aid counselor by visiting our Financial Aid page.,3,Can I access financial aid for my online courses at ASU?,ASU Online
"ASU Online students may be eligible for financial aid. Options include federal student aid or grants for undergraduate students who demonstrate exceptional financial need, requiring a complete Free Application for Federal Student Aid (FAFSA) file. Specifically, grants are available for qualifying online-degree-seeking undergraduate students, except for the Financial Aid Trust Grant. For graduate students, although state or federal grants are not available, financial aid options include scholarships from private donors through ASU's scholarship search portal, as well as federal student loans and private education loans. To learn more, students can visit Arizona State University's Financial Aid and Scholarship Services website.",ASU Online students may be eligible for financial aid. Learn about your options and how to get in touch with a financial aid counselor by visiting our Financial Aid page.,3,What options are available for financial aid for ASU Online students?,ASU Online
"To connect with a financial aid counselor for ASU Online, you can call 855-278-5080. This will allow you to discuss your financial aid options and any specific questions you might have.",ASU Online students may be eligible for financial aid. Learn about your options and how to get in touch with a financial aid counselor by visiting our Financial Aid page.,3,How can I connect with a financial aid counselor for ASU Online?,ASU Online
"ASU Online students may be eligible for financial aid. To qualify for certain types of aid, such as federal grants for undergraduate students, you must complete the Free Application for Federal Student Aid (FAFSA) and demonstrate exceptional financial need. Graduate students do not qualify for state or federal grants but can explore scholarships from private donors, as well as federal student loans and private education loans. For more information on eligibility and assistance options, it is recommended to visit the Financial Aid and Scholarship Services website of Arizona State University.",ASU Online students may be eligible for financial aid. Learn about your options and how to get in touch with a financial aid counselor by visiting our Financial Aid page.,3,Are there specific eligibility requirements for financial aid at ASU Online?,ASU Online
"You can find more information about financial aid for ASU Online classes by visiting Arizona State University's Financial Aid page. This page will provide you with details about your options and how to get in touch with a financial aid counselor. Additionally, you can visit the Financial Aid and Scholarship Services website for comprehensive information about different types of federal aid available.",ASU Online students may be eligible for financial aid. Learn about your options and how to get in touch with a financial aid counselor by visiting our Financial Aid page.,3,Where can I find more information about financial aid for ASU Online classes?,ASU Online
"Yes, ASU Online students are allowed and encouraged to join graduation ceremonies in person on campus. More information can be found on the University Ceremonies website.",Yes! ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.,4,Are ASU Online students allowed to join graduation ceremonies in person?,ASU Online
"ASU Online students are encouraged to attend university graduation ceremonies on campus. For more details, you can visit the University Ceremonies website.",Yes! ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.,4,What opportunities are available for attending graduation at ASU?,ASU Online
You can find details about graduation ceremonies for ASU Online students on the University Ceremonies website.,Yes! ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.,4,Where can I find details about graduation ceremonies for ASU Online?,ASU Online
"Yes, ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.",Yes! ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.,4,Can I participate in the university's graduation events if I study online?,ASU Online
"Yes, ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.",Yes! ASU Online students are encouraged to participate in university graduation ceremonies. More information can be found on the University Ceremonies website.,4,Is there any information about attending the graduation ceremony at ASU for online students?,ASU Online
"Yes, it is possible to enroll in ASU Online if you live outside the United States. International students residing outside of the U.S. should select the visa type 'JN' when completing the application. Student visas are not available to online students, and students currently residing in the U.S. with F1 visas cannot enroll in online programs.","Yes, you can attend ASU Online from another state or country. Our students are completing degrees from all around the world. While most of our degrees can be completed 100% online, please note some programs (for example, the Bachelor of Science in biochemistry) require an in-person lab component. However, you may be able to complete this requirement at an approved accredited institution near your physical location. So, make sure you're aware of all your program's specific requirements.",5,Is it possible to enroll in ASU Online if I live outside the United States?,ASU Online
"Yes, you can study online at ASU while residing in a different state or even a different country. ASU Online students complete their degrees from all around the world. However, be aware that some programs might require an in-person component, like labs, which could potentially be completed at an approved accredited institution near you. Make sure to check your specific program’s requirements.","Yes, you can attend ASU Online from another state or country. Our students are completing degrees from all around the world. While most of our degrees can be completed 100% online, please note some programs (for example, the Bachelor of Science in biochemistry) require an in-person lab component. However, you may be able to complete this requirement at an approved accredited institution near your physical location. So, make sure you're aware of all your program's specific requirements.",5,Can I study online at ASU while residing in a different state?,ASU Online
"Yes, there are some programs at ASU Online that require physical attendance for labs. For example, the Bachelor of Science in biochemistry requires an in-person lab component. However, you may be able to complete this requirement at an approved accredited institution near your physical location.","Yes, you can attend ASU Online from another state or country. Our students are completing degrees from all around the world. While most of our degrees can be completed 100% online, please note some programs (for example, the Bachelor of Science in biochemistry) require an in-person lab component. However, you may be able to complete this requirement at an approved accredited institution near your physical location. So, make sure you're aware of all your program's specific requirements.",5,Are there any programs that require physical attendance for labs?,ASU Online
"If you are considering studying from another location while pursuing your degree, it's important to be aware of your program's specific requirements. Although most degrees offered by ASU Online can be completed 100% online, some programs, such as the Bachelor of Science in biochemistry, may require an in-person lab component. You might have the option to fulfill this requirement at an approved accredited institution near your location. Therefore, it's crucial to check all the requirements for your specific program to plan accordingly.","Yes, you can attend ASU Online from another state or country. Our students are completing degrees from all around the world. While most of our degrees can be completed 100% online, please note some programs (for example, the Bachelor of Science in biochemistry) require an in-person lab component. However, you may be able to complete this requirement at an approved accredited institution near your physical location. So, make sure you're aware of all your program's specific requirements.",5,What should I consider regarding my degree requirements if I study from another location?,ASU Online
"Yes, you can fulfill in-person lab requirements at other accredited institutions. Some programs, like the Bachelor of Science in biochemistry, require an in-person lab component which may be completed at an approved accredited institution near your physical location. Make sure to confirm all specific requirements for your program.","Yes, you can attend ASU Online from another state or country. Our students are completing degrees from all around the world. While most of our degrees can be completed 100% online, please note some programs (for example, the Bachelor of Science in biochemistry) require an in-person lab component. However, you may be able to complete this requirement at an approved accredited institution near your physical location. So, make sure you're aware of all your program's specific requirements.",5,Can I fulfill in-person lab requirements at other accredited institutions?,ASU Online
"Yes, the online courses at Arizona State University (ASU) are taught by the same prestigious faculty and instructors who teach the on-campus classes. This ensures that the rigor and quality of the content are the same for both online and on-campus classes.","Yes, the same prestigious faculty and instructors who teach on Arizona State University campuses teach ASU Online courses. This means the rigor and quality of the content is the same as on-campus classes.",6,Are the online courses at ASU taught by the same faculty as on-campus classes?,ASU Online
"Yes, the quality of ASU Online programs is similar to that of traditional on-campus programs. The same prestigious faculty and instructors who teach on Arizona State University campuses also teach ASU Online courses, ensuring that the rigor and quality of the content are the same as for on-campus classes.","Yes, the same prestigious faculty and instructors who teach on Arizona State University campuses teach ASU Online courses. This means the rigor and quality of the content is the same as on-campus classes.",6,Is the quality of ASU Online programs similar to that of traditional on-campus programs?,ASU Online
"Yes, ASU Online courses maintain the same level of academic rigor as on-campus courses. The same prestigious faculty and instructors who teach on Arizona State University campuses also teach ASU Online courses, ensuring that the rigor and quality of the content are equivalent to on-campus classes.","Yes, the same prestigious faculty and instructors who teach on Arizona State University campuses teach ASU Online courses. This means the rigor and quality of the content is the same as on-campus classes.",6,Do ASU Online courses maintain the same level of academic rigor as on-campus courses?,ASU Online
The courses for ASU Online programs are taught by the same prestigious faculty and instructors who teach on Arizona State University campuses.,"Yes, the same prestigious faculty and instructors who teach on Arizona State University campuses teach ASU Online courses. This means the rigor and quality of the content is the same as on-campus classes.",6,Who teaches the courses for ASU Online programs?,ASU Online
"Yes, you can expect the same content quality in ASU Online as you would in a physical classroom. The prestigious faculty and instructors who teach on Arizona State University campuses also teach ASU Online courses, ensuring that the rigor and quality of the content are the same as on-campus classes.","Yes, the same prestigious faculty and instructors who teach on Arizona State University campuses teach ASU Online courses. This means the rigor and quality of the content is the same as on-campus classes.",6,Can I expect the same content quality in ASU Online as I would in a physical classroom?,ASU Online
"Yes, online students can obtain a student ID card. They can order a Sun Card, ASU's official student ID, by submitting their ID photo and identification verification online. After receiving a photo approval email, they must complete the Sun Card Request form. A $25 fee will be posted to their student account, and they should allow 10 working days for delivery by the U.S. Postal Service.","Yes. Online students can order a Sun Card, ASU's official student ID, by completing the following steps:Submit your ID photo and identification verification online.Once you receive a photo approval email, you must complete the Sun Card Request form. A $25 fee will be posted to your student account.Please allow 10 working days for delivery by the U.S. Postal Service.",7,Can I obtain a student ID card if I am an online student?,ASU Online
"To get your Sun Card, follow these steps:

1. Submit your ID photo and identification verification online.
2. Once you receive a photo approval email, complete the Sun Card Request form.
3. A $25 fee will be posted to your student account.
4. Allow 10 working days for delivery by the U.S. Postal Service.","Yes. Online students can order a Sun Card, ASU's official student ID, by completing the following steps:Submit your ID photo and identification verification online.Once you receive a photo approval email, you must complete the Sun Card Request form. A $25 fee will be posted to your student account.Please allow 10 working days for delivery by the U.S. Postal Service.",7,What steps do I need to take to get my Sun Card?,ASU Online
"Yes, there is a fee associated with ordering a student ID card. A $25 fee will be posted to your student account when you order a Sun Card, ASU's official student ID.","Yes. Online students can order a Sun Card, ASU's official student ID, by completing the following steps:Submit your ID photo and identification verification online.Once you receive a photo approval email, you must complete the Sun Card Request form. A $25 fee will be posted to your student account.Please allow 10 working days for delivery by the U.S. Postal Service.",7,Is there a fee associated with ordering a student ID card?,ASU Online
"It will take approximately 10 working days to receive your student ID card after ordering, as it will be delivered by the U.S. Postal Service.","Yes. Online students can order a Sun Card, ASU's official student ID, by completing the following steps:Submit your ID photo and identification verification online.Once you receive a photo approval email, you must complete the Sun Card Request form. A $25 fee will be posted to your student account.Please allow 10 working days for delivery by the U.S. Postal Service.",7,How long will it take to receive my student ID card after ordering?,ASU Online
"To submit your ID photo for the Sun Card, follow these steps:

1. Submit your ID photo and identification verification online.
2. Once you receive a photo approval email, complete the Sun Card Request form.
3. A $25 fee will be posted to your student account.
4. Allow 10 working days for delivery by the U.S. Postal Service.","Yes. Online students can order a Sun Card, ASU's official student ID, by completing the following steps:Submit your ID photo and identification verification online.Once you receive a photo approval email, you must complete the Sun Card Request form. A $25 fee will be posted to your student account.Please allow 10 working days for delivery by the U.S. Postal Service.",7,What is the process for submitting my ID photo for the Sun Card?,ASU Online
"Yes, online undergraduate and graduate students are able to engage in research activities across a variety of disciplines. Many research opportunities can be completed remotely, and there are also in-person research opportunities available for online students who live in the Phoenix area and can come to campus.","Yes, online undergraduate and graduate students can participate in research across a variety of disciplines. Many of these research opportunities can be completed remotely. However, there are additional in-person research opportunities available for online students who live in the Phoenix area and can come to campus.",8,Are online students able to engage in research activities?,ASU Online
"Online undergraduate and graduate students at ASU can participate in research across a variety of disciplines. Many of these research opportunities can be completed remotely. Additionally, there are in-person research opportunities available for online students who live in the Phoenix area and can come to campus.","Yes, online undergraduate and graduate students can participate in research across a variety of disciplines. Many of these research opportunities can be completed remotely. However, there are additional in-person research opportunities available for online students who live in the Phoenix area and can come to campus.",8,What types of research opportunities are available for online students?,ASU Online
"Yes, online students can conduct research remotely. Online undergraduate and graduate students can participate in research across a variety of disciplines, and many of these opportunities can be completed remotely. There are also additional in-person research opportunities available for online students located in the Phoenix area who can come to campus.","Yes, online undergraduate and graduate students can participate in research across a variety of disciplines. Many of these research opportunities can be completed remotely. However, there are additional in-person research opportunities available for online students who live in the Phoenix area and can come to campus.",8,Can online students conduct research remotely?,ASU Online
"Yes, there are in-person research options for online students. Online undergraduate and graduate students can participate in research across various disciplines, and while many research opportunities can be completed remotely, additional in-person research opportunities are available for online students who live in the Phoenix area and can come to campus.","Yes, online undergraduate and graduate students can participate in research across a variety of disciplines. Many of these research opportunities can be completed remotely. However, there are additional in-person research opportunities available for online students who live in the Phoenix area and can come to campus.",8,Are there in-person research options for online students?,ASU Online
"Yes, online students in the Phoenix area have unique research opportunities. While many research opportunities can be completed remotely, there are additional in-person research opportunities available for those who live in the Phoenix area and can come to campus.","Yes, online undergraduate and graduate students can participate in research across a variety of disciplines. Many of these research opportunities can be completed remotely. However, there are additional in-person research opportunities available for online students who live in the Phoenix area and can come to campus.",8,Do online students in the Phoenix area have unique research opportunities?,ASU Online
"Yes, it is possible to work toward more than one bachelor's degree simultaneously at ASU Online. If you decide to pursue two or more bachelor's degrees at the same time, you would select one major on the ASU application and then add additional majors through your academic advisor. Doing so may increase the time it takes to graduate, and you can work with your academic advisor to understand how this decision might affect your course load and expected graduation date.","You can pursue two or more bachelor's degrees at the same time at ASU Online. If you do decide to double or triple major, you'll select one major on the ASU application and add the second or third major through your academic advisor.Graduate students can also simultaneously pursue two degrees. To pursue concurrent graduate degrees, you must separately apply and be accepted into each program. You will also need approval from the head of each academic department and the Graduate College.Pursuing multiple degrees might increase the time it takes for you to graduate. You can work with your academic advisor to find out how adding another degree program might impact your course load or expected graduation date. ",9,Is it possible to work toward more than one bachelor's degree simultaneously at ASU Online?,ASU Online
"To add additional majors after you apply for a degree at ASU Online, you should select one major on the ASU application initially. You can then add the second or third major through your academic advisor.","You can pursue two or more bachelor's degrees at the same time at ASU Online. If you do decide to double or triple major, you'll select one major on the ASU application and add the second or third major through your academic advisor.Graduate students can also simultaneously pursue two degrees. To pursue concurrent graduate degrees, you must separately apply and be accepted into each program. You will also need approval from the head of each academic department and the Graduate College.Pursuing multiple degrees might increase the time it takes for you to graduate. You can work with your academic advisor to find out how adding another degree program might impact your course load or expected graduation date. ",9,How can I add additional majors after I apply for a degree at ASU Online?,ASU Online
"Yes, graduate students can pursue multiple degrees simultaneously through ASU Online. To do so, they must apply and be accepted into each program separately and obtain approval from the head of each academic department as well as the Graduate College. Pursuing concurrent graduate degrees may extend the time required to graduate, and students should consult with their academic advisor to understand how adding another degree program could affect their course load or expected graduation date.","You can pursue two or more bachelor's degrees at the same time at ASU Online. If you do decide to double or triple major, you'll select one major on the ASU application and add the second or third major through your academic advisor.Graduate students can also simultaneously pursue two degrees. To pursue concurrent graduate degrees, you must separately apply and be accepted into each program. You will also need approval from the head of each academic department and the Graduate College.Pursuing multiple degrees might increase the time it takes for you to graduate. You can work with your academic advisor to find out how adding another degree program might impact your course load or expected graduation date. ",9,Can graduate students also pursue multiple degrees at the same time through ASU Online?,ASU Online
"To pursue concurrent graduate degrees at ASU, you need to apply and be accepted into each program separately. Additionally, you must obtain approval from the head of each academic department as well as the Graduate College.","You can pursue two or more bachelor's degrees at the same time at ASU Online. If you do decide to double or triple major, you'll select one major on the ASU application and add the second or third major through your academic advisor.Graduate students can also simultaneously pursue two degrees. To pursue concurrent graduate degrees, you must separately apply and be accepted into each program. You will also need approval from the head of each academic department and the Graduate College.Pursuing multiple degrees might increase the time it takes for you to graduate. You can work with your academic advisor to find out how adding another degree program might impact your course load or expected graduation date. ",9,What approvals do I need to pursue concurrent graduate degrees at ASU?,ASU Online
Pursuing multiple degrees at ASU Online might increase the time it takes for you to graduate. It is advised to work with your academic advisor to understand how adding another degree program could impact your course load or expected graduation date.,"You can pursue two or more bachelor's degrees at the same time at ASU Online. If you do decide to double or triple major, you'll select one major on the ASU application and add the second or third major through your academic advisor.Graduate students can also simultaneously pursue two degrees. To pursue concurrent graduate degrees, you must separately apply and be accepted into each program. You will also need approval from the head of each academic department and the Graduate College.Pursuing multiple degrees might increase the time it takes for you to graduate. You can work with your academic advisor to find out how adding another degree program might impact your course load or expected graduation date. ",9,Will pursuing multiple degrees affect my graduation timeline at ASU Online?,ASU Online
"No, the costs of textbooks are not included in the tuition fees.",Textbook costs are not included in tuition.,10,Are the costs of textbooks part of the tuition fees?,ASU Online
The provided CONTEXT does not include specific information about whether students need to pay separately for textbooks.,Textbook costs are not included in tuition.,10,Do students need to pay separately for textbooks?,ASU Online
The provided context does not include any information about whether there is an additional fee for textbooks at ASU Online. Please consult ASU's official resources or contact their support for accurate information regarding textbook fees.,Textbook costs are not included in tuition.,10,Is there an additional fee for textbooks at ASU Online?,ASU Online
You should expect that textbook expenses are separate and not included in your tuition for ASU Online courses.,Textbook costs are not included in tuition.,10,What should I expect regarding textbook expenses?,ASU Online
Textbook costs are not included in your tuition payment.,Textbook costs are not included in tuition.,10,Are textbooks included in my overall tuition payment?,ASU Online
"ASU Online is regionally accredited by the Higher Learning Commission, which is an institutional accrediting agency recognized by the U.S. Department of Education. Regional accreditation is the most accepted and recognized accreditation for colleges and universities in the United States.","Arizona State University and our online programs are regionally accredited by the Higher Learning Commission. The Higher Learning Commission is an institutional accrediting agency recognized by the U.S. Department of Education.Regional accreditation is the most accepted and recognized accreditation for colleges and universities in the United States. This means that regionally accredited schools, such as ASU, are the gold standard in higher education. In addition to ASU's Higher Learning Commission accreditation, many of ASU Online's programs carry specialized accreditation specific to the field. View a list of ASU programs with specialized accreditations.",11,What type of accreditation does ASU Online hold?,ASU Online
The Higher Learning Commission is recognized by the U.S. Department of Education.,"Arizona State University and our online programs are regionally accredited by the Higher Learning Commission. The Higher Learning Commission is an institutional accrediting agency recognized by the U.S. Department of Education.Regional accreditation is the most accepted and recognized accreditation for colleges and universities in the United States. This means that regionally accredited schools, such as ASU, are the gold standard in higher education. In addition to ASU's Higher Learning Commission accreditation, many of ASU Online's programs carry specialized accreditation specific to the field. View a list of ASU programs with specialized accreditations.",11,Who recognizes the Higher Learning Commission?,ASU Online
"Regional accreditation is important for universities because it is the most accepted and recognized form of accreditation in the United States. It signifies that an institution meets high standards of quality in education, making regionally accredited universities like Arizona State University the gold standard in higher education. This recognition ensures that the education offered is credible and respected, which can be crucial for the transferability of credits, eligibility for federal financial aid, and recognition of degrees by employers and other institutions.","Arizona State University and our online programs are regionally accredited by the Higher Learning Commission. The Higher Learning Commission is an institutional accrediting agency recognized by the U.S. Department of Education.Regional accreditation is the most accepted and recognized accreditation for colleges and universities in the United States. This means that regionally accredited schools, such as ASU, are the gold standard in higher education. In addition to ASU's Higher Learning Commission accreditation, many of ASU Online's programs carry specialized accreditation specific to the field. View a list of ASU programs with specialized accreditations.",11,Why is regional accreditation important for universities?,ASU Online
"Yes, many of ASU Online's programs carry specialized accreditation specific to the field, in addition to the regional accreditation by the Higher Learning Commission. You can view a list of ASU programs with specialized accreditations to find out which programs have this additional accreditation.","Arizona State University and our online programs are regionally accredited by the Higher Learning Commission. The Higher Learning Commission is an institutional accrediting agency recognized by the U.S. Department of Education.Regional accreditation is the most accepted and recognized accreditation for colleges and universities in the United States. This means that regionally accredited schools, such as ASU, are the gold standard in higher education. In addition to ASU's Higher Learning Commission accreditation, many of ASU Online's programs carry specialized accreditation specific to the field. View a list of ASU programs with specialized accreditations.",11,Are there specific programs at ASU Online with additional accreditation?,ASU Online
